"","subid","age","task","item","q","q_kind","answer","task_num","sex","site","age_group","age.group","age.c","q_kind_label"
"1","A0517",10.47501711,"moral","push",1,0,1,NA,"M","India",NA,10,0.319663349247819,"Severity rating"
"2","A0519",10.6255989,"moral","push",1,0,1,NA,"M","India",NA,10,0.377772207994199,"Severity rating"
"3","A0524",10.28336756,"moral","push",1,0,1,NA,"F","India",NA,10,0.24570662028506,"Severity rating"
"4","A0525",10.68035592,"moral","push",1,0,1,NA,"M","India",NA,10,0.398902704188677,"Severity rating"
"5","A0526",10.30253251,"moral","push",1,0,1,NA,"M","India",NA,10,0.253102291251858,"Severity rating"
"6","A0527",10.17111567,"moral","push",1,0,1,NA,"F","India",NA,10,0.202389103472276,"Severity rating"
"7","A0528",10.67488022,"moral","push",1,0,1,NA,"F","India",NA,10,0.39678965534102,"Severity rating"
"8","A0529",10.55715264,"moral","push",1,0,1,NA,"M","India",NA,10,0.351359093539536,"Severity rating"
"9","A0530",10.80355921,"moral","push",1,0,1,NA,"F","India",NA,10,0.446446318696773,"Severity rating"
"10","A0532",10.19849418,"moral","push",1,0,1,NA,"F","India",NA,10,0.212954351569515,"Severity rating"
"11","A0601",10.36550308,"moral","push",1,0,1,NA,"F","India",NA,10,0.27740236071782,"Severity rating"
"12","A0606",10.92950034,"moral","push",1,0,2,NA,"F","India",NA,11,0.495046453769742,"Severity rating"
"13","A0607",10.85284052,"moral","push",1,0,1,NA,"F","India",NA,10,0.465463762184639,"Severity rating"
"14","A0616",10.94045175,"moral","push",1,0,1,NA,"M","India",NA,11,0.499272555324011,"Severity rating"
"15","Z06013",10.61738535,"moral","push",1,0,1,NA,"","India",NA,10,0.374602634722714,"Severity rating"
"16","Z06022",10.81998631,"moral","push",1,0,2,NA,"","India",NA,10,0.452785465239743,"Severity rating"
"17","A0517",10.47501711,"moral","push",1,1,0,NA,"M","India",NA,10,0.319663349247819,"Faraway country"
"18","A0519",10.6255989,"moral","push",1,1,0,NA,"M","India",NA,10,0.377772207994199,"Faraway country"
"19","A0524",10.28336756,"moral","push",1,1,0,NA,"F","India",NA,10,0.24570662028506,"Faraway country"
"20","A0525",10.68035592,"moral","push",1,1,1,NA,"M","India",NA,10,0.398902704188677,"Faraway country"
"21","A0526",10.30253251,"moral","push",1,1,0,NA,"M","India",NA,10,0.253102291251858,"Faraway country"
"22","A0527",10.17111567,"moral","push",1,1,0,NA,"F","India",NA,10,0.202389103472276,"Faraway country"
"23","A0528",10.67488022,"moral","push",1,1,0,NA,"F","India",NA,10,0.39678965534102,"Faraway country"
"24","A0529",10.55715264,"moral","push",1,1,0,NA,"M","India",NA,10,0.351359093539536,"Faraway country"
"25","A0530",10.80355921,"moral","push",1,1,0,NA,"F","India",NA,10,0.446446318696773,"Faraway country"
"26","A0532",10.19849418,"moral","push",1,1,0,NA,"F","India",NA,10,0.212954351569515,"Faraway country"
"27","A0601",10.36550308,"moral","push",1,1,0,NA,"F","India",NA,10,0.27740236071782,"Faraway country"
"28","A0606",10.92950034,"moral","push",1,1,0,NA,"F","India",NA,11,0.495046453769742,"Faraway country"
"29","A0607",10.85284052,"moral","push",1,1,1,NA,"F","India",NA,10,0.465463762184639,"Faraway country"
"30","A0616",10.94045175,"moral","push",1,1,0,NA,"M","India",NA,11,0.499272555324011,"Faraway country"
"31","Z06013",10.61738535,"moral","push",1,1,0,NA,"","India",NA,10,0.374602634722714,"Faraway country"
"32","Z06022",10.81998631,"moral","push",1,1,0,NA,"","India",NA,10,0.452785465239743,"Faraway country"
"33","A0517",10.47501711,"moral","push",1,2,0,NA,"M","India",NA,10,0.319663349247819,"Rule at school"
"34","A0519",10.6255989,"moral","push",1,2,0,NA,"M","India",NA,10,0.377772207994199,"Rule at school"
"35","A0524",10.28336756,"moral","push",1,2,0,NA,"F","India",NA,10,0.24570662028506,"Rule at school"
"36","A0525",10.68035592,"moral","push",1,2,1,NA,"M","India",NA,10,0.398902704188677,"Rule at school"
"37","A0526",10.30253251,"moral","push",1,2,0,NA,"M","India",NA,10,0.253102291251858,"Rule at school"
"38","A0527",10.17111567,"moral","push",1,2,1,NA,"F","India",NA,10,0.202389103472276,"Rule at school"
"39","A0528",10.67488022,"moral","push",1,2,0,NA,"F","India",NA,10,0.39678965534102,"Rule at school"
"40","A0529",10.55715264,"moral","push",1,2,0,NA,"M","India",NA,10,0.351359093539536,"Rule at school"
"41","A0530",10.80355921,"moral","push",1,2,0,NA,"F","India",NA,10,0.446446318696773,"Rule at school"
"42","A0532",10.19849418,"moral","push",1,2,0,NA,"F","India",NA,10,0.212954351569515,"Rule at school"
"43","A0601",10.36550308,"moral","push",1,2,0,NA,"F","India",NA,10,0.27740236071782,"Rule at school"
"44","A0606",10.92950034,"moral","push",1,2,0,NA,"F","India",NA,11,0.495046453769742,"Rule at school"
"45","A0607",10.85284052,"moral","push",1,2,1,NA,"F","India",NA,10,0.465463762184639,"Rule at school"
"46","A0616",10.94045175,"moral","push",1,2,0,NA,"M","India",NA,11,0.499272555324011,"Rule at school"
"47","Z06013",10.61738535,"moral","push",1,2,0,NA,"","India",NA,10,0.374602634722714,"Rule at school"
