"","subid","age","task","item","q","q_kind","answer","task_num","site","age_group"
"1","A0517",10.47501711,"moral","push",3,0,"1",NA,"India",NA
"2","A0519",10.6255989,"moral","push",3,0,"1",NA,"India",NA
"3","A0524",10.28336756,"moral","push",3,0,"1",NA,"India",NA
"4","A0525",10.68035592,"moral","push",3,0,"1",NA,"India",NA
"5","A0526",10.30253251,"moral","push",3,0,"1",NA,"India",NA
"6","A0527",10.17111567,"moral","push",3,0,"1",NA,"India",NA
"7","A0528",10.67488022,"moral","push",3,0,"1",NA,"India",NA
"8","A0529",10.55715264,"moral","push",3,0,"1",NA,"India",NA
"9","A0530",10.80355921,"moral","push",3,0,"1",NA,"India",NA
"10","A0531",11.18138261,"moral","push",3,0,NA,NA,"India",NA
"11","A0532",10.19849418,"moral","push",3,0,"1",NA,"India",NA
"12","A0601",10.36550308,"moral","push",3,0,"1",NA,"India",NA
"13","A0603",11.38672142,"moral","push",3,0,"1",NA,"India",NA
"14","A0603",11.38672142,"moral","push",3,0,"2",NA,"India",NA
"15","A0604",11.41957563,"moral","push",3,0,"1",NA,"India",NA
"16","A0605",11.66324435,"moral","push",3,0,"2",NA,"India",NA
"17","A0606",10.92950034,"moral","push",3,0,"2",NA,"India",NA
"18","A0607",10.85284052,"moral","push",3,0,"1",NA,"India",NA
"19","A0609",11.43326489,"moral","push",3,0,"1",NA,"India",NA
"20","A0610",11.46338125,"moral","push",3,0,"1",NA,"India",NA
"21","A0614",11.76180698,"moral","push",3,0,"1",NA,"India",NA
"22","A0616",10.94045175,"moral","push",3,0,"1",NA,"India",NA
"23","A0619",11.44695414,"moral","push",3,0,"2",NA,"India",NA
"24","A0622",11.45790554,"moral","push",3,0,"1",NA,"India",NA
"25","A0624",11.00889802,"moral","push",3,0,"1",NA,"India",NA
"26","Z06004",11.50171116,"moral","push",3,0,"1",NA,"India",NA
"27","Z06006",11.44969199,"moral","push",3,0,"1",NA,"India",NA
"28","Z06010",11.94250513,"moral","push",3,0,"1",NA,"India",NA
"29","Z06012",11.61943874,"moral","push",3,0,"2",NA,"India",NA
"30","Z06013",10.61738535,"moral","push",3,0,"1",NA,"India",NA
"31","Z06015",11.50171116,"moral","push",3,0,"2",NA,"India",NA
"32","Z06018",11.24982888,"moral","push",3,0,"1",NA,"India",NA
"33","Z06022",10.81998631,"moral","push",3,0,"2",NA,"India",NA
"34","Z09002",17.36892539,"moral","push",3,0,"1",NA,"India",NA
"35","Z09010",14.2477755,"moral","push",3,0,"1",NA,"India",NA
"36","Z09011",13.9028063,"moral","push",3,0,"2",NA,"India",NA
"37","Z09022",13.76043806,"moral","push",3,0,"1",NA,"India",NA
"38","Z09025",13.76043806,"moral","push",3,0,"1",NA,"India",NA
"39","Z09026",14.6091718,"moral","push",3,0,"1",NA,"India",NA
"40","Z09031",14.95140315,"moral","push",3,0,"1",NA,"India",NA
"41","Z09035",13.65913758,"moral","push",3,0,"1",NA,"India",NA
"42","A0517",10.47501711,"moral","push",3,1,"0",NA,"India",NA
"43","A0519",10.6255989,"moral","push",3,1,"0",NA,"India",NA
"44","A0524",10.28336756,"moral","push",3,1,"0",NA,"India",NA
"45","A0525",10.68035592,"moral","push",3,1,"1",NA,"India",NA
"46","A0526",10.30253251,"moral","push",3,1,"0",NA,"India",NA
"47","A0527",10.17111567,"moral","push",3,1,"0",NA,"India",NA
"48","A0528",10.67488022,"moral","push",3,1,"0",NA,"India",NA
"49","A0529",10.55715264,"moral","push",3,1,"0",NA,"India",NA
"50","A0530",10.80355921,"moral","push",3,1,"0",NA,"India",NA
"51","A0531",11.18138261,"moral","push",3,1,"0",NA,"India",NA
"52","A0532",10.19849418,"moral","push",3,1,"0",NA,"India",NA
"53","A0601",10.36550308,"moral","push",3,1,"0",NA,"India",NA
"54","A0603",11.38672142,"moral","push",3,1,"0",NA,"India",NA
"55","A0603",11.38672142,"moral","push",3,1,"0",NA,"India",NA
"56","A0604",11.41957563,"moral","push",3,1,"0",NA,"India",NA
"57","A0605",11.66324435,"moral","push",3,1,"0",NA,"India",NA
"58","A0606",10.92950034,"moral","push",3,1,"0",NA,"India",NA
"59","A0607",10.85284052,"moral","push",3,1,"1",NA,"India",NA
"60","A0609",11.43326489,"moral","push",3,1,"0",NA,"India",NA
"61","A0610",11.46338125,"moral","push",3,1,"0",NA,"India",NA
"62","A0614",11.76180698,"moral","push",3,1,"0",NA,"India",NA
"63","A0616",10.94045175,"moral","push",3,1,"0",NA,"India",NA
"64","A0619",11.44695414,"moral","push",3,1,"0",NA,"India",NA
"65","A0622",11.45790554,"moral","push",3,1,"0",NA,"India",NA
"66","A0624",11.00889802,"moral","push",3,1,"0",NA,"India",NA
"67","Z06004",11.50171116,"moral","push",3,1,"0",NA,"India",NA
"68","Z06006",11.44969199,"moral","push",3,1,"1",NA,"India",NA
"69","Z06010",11.94250513,"moral","push",3,1,"0",NA,"India",NA
"70","Z06012",11.61943874,"moral","push",3,1,"0",NA,"India",NA
"71","Z06013",10.61738535,"moral","push",3,1,"0",NA,"India",NA
"72","Z06015",11.50171116,"moral","push",3,1,"0",NA,"India",NA
"73","Z06018",11.24982888,"moral","push",3,1,"0",NA,"India",NA
"74","Z06022",10.81998631,"moral","push",3,1,"0",NA,"India",NA
"75","Z09002",17.36892539,"moral","push",3,1,"0",NA,"India",NA
"76","Z09010",14.2477755,"moral","push",3,1,"0",NA,"India",NA
"77","Z09011",13.9028063,"moral","push",3,1,"0",NA,"India",NA
"78","Z09022",13.76043806,"moral","push",3,1,"0",NA,"India",NA
"79","Z09025",13.76043806,"moral","push",3,1,"0",NA,"India",NA
"80","Z09026",14.6091718,"moral","push",3,1,"0",NA,"India",NA
"81","Z09031",14.95140315,"moral","push",3,1,"0",NA,"India",NA
"82","Z09035",13.65913758,"moral","push",3,1,"0",NA,"India",NA
"83","A0517",10.47501711,"moral","push",3,2,"0",NA,"India",NA
"84","A0519",10.6255989,"moral","push",3,2,"0",NA,"India",NA
"85","A0524",10.28336756,"moral","push",3,2,"0",NA,"India",NA
"86","A0525",10.68035592,"moral","push",3,2,"1",NA,"India",NA
"87","A0526",10.30253251,"moral","push",3,2,"0",NA,"India",NA
"88","A0527",10.17111567,"moral","push",3,2,"1",NA,"India",NA
"89","A0528",10.67488022,"moral","push",3,2,"0",NA,"India",NA
"90","A0529",10.55715264,"moral","push",3,2,"0",NA,"India",NA
"91","A0530",10.80355921,"moral","push",3,2,"0",NA,"India",NA
"92","A0531",11.18138261,"moral","push",3,2,"1",NA,"India",NA
"93","A0532",10.19849418,"moral","push",3,2,"0",NA,"India",NA
"94","A0601",10.36550308,"moral","push",3,2,"0",NA,"India",NA
"95","A0603",11.38672142,"moral","push",3,2,"0",NA,"India",NA
"96","A0603",11.38672142,"moral","push",3,2,"1",NA,"India",NA
"97","A0604",11.41957563,"moral","push",3,2,"1",NA,"India",NA
"98","A0605",11.66324435,"moral","push",3,2,"1",NA,"India",NA
"99","A0606",10.92950034,"moral","push",3,2,"0",NA,"India",NA
"100","A0607",10.85284052,"moral","push",3,2,"1",NA,"India",NA
"101","A0609",11.43326489,"moral","push",3,2,"0",NA,"India",NA
"102","A0610",11.46338125,"moral","push",3,2,"1",NA,"India",NA
"103","A0614",11.76180698,"moral","push",3,2,"1",NA,"India",NA
"104","A0616",10.94045175,"moral","push",3,2,"0",NA,"India",NA
"105","A0619",11.44695414,"moral","push",3,2,"1",NA,"India",NA
