"","subid","age","age_group","sex","ms_q_ver","task","task_num","answer","q","q_kind","item","justifications","site","age.group","age.c","q_kind_label"
"1","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran1",1,1,0,"back to elder","","Iran - Study 2",11,0.556640626033475,"Severity rating"
"2","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran1.1",1,1,1,"back to elder","","Iran - Study 2",11,0.556640626033475,"Farawary country"
"3","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran1.2",0,1,2,"back to elder","","Iran - Study 2",11,0.556640626033475,"Rule at school"
"4","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran1.3",0,1,3,"back to elder","","Iran - Study 2",11,0.556640626033475,"Everyone else"
"5","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran1.4",0,1,4,"back to elder","","Iran - Study 2",11,0.556640626033475,"Foreigner"
"6","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran1.5",0,1,5,"back to elder","","Iran - Study 2",11,0.556640626033475,"Non-muslim"
"7","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran1.6",1,1,6,"back to elder","","Iran - Study 2",11,0.556640626033475,"Haram"
"8","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran1.7",0,1,7,"back to elder","","Iran - Study 2",11,0.556640626033475,"Illegal"
"9","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran1.8",1,1,8,"back to elder","","Iran - Study 2",11,0.556640626033475,"Zesht"
"10","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran2",2,2,0,"shoes in house","","Iran - Study 2",11,0.556640626033475,"Severity rating"
"11","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran2.1",0,2,1,"shoes in house","","Iran - Study 2",11,0.556640626033475,"Farawary country"
"12","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran2.2",0,2,2,"shoes in house","","Iran - Study 2",11,0.556640626033475,"Rule at school"
"13","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran2.3",0,2,3,"shoes in house","","Iran - Study 2",11,0.556640626033475,"Everyone else"
"14","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran2.4",0,2,4,"shoes in house","","Iran - Study 2",11,0.556640626033475,"Foreigner"
"15","MC-iran_study2-1",11.38672142,11,"m",2,"conv.iran","conv.iran2.5",0,2,5,"shoes in house","","Iran - Study 2",11,0.556640626033475,"Non-muslim"
