"","subid","site"
"1","A0517","India"
"2","A0519","India"
"3","A0524","India"
"4","A0525","India"
"5","A0526","India"
"6","A0527","India"
"7","A0528","India"
"8","A0529","India"
"9","A0530","India"
"10","A0532","India"
"11","A0601","India"
"12","A0606","India"
"13","A0607","India"
"14","A0616","India"
"15","Z06013","India"
"16","Z06022","India"
"17","A0210","India"
"18","A0229","India"
"19","A0239","India"
"20","A0236","India"
"21","A0243","India"
"22","A0223","India"
"23","A0218","India"
"24","A0216","India"
"25","A0206","India"
"26","A0202","India"
"27","A0241","India"
"28","A0232","India"
"29","A0242","India"
"30","A0240","India"
"31","A0219","India"
"32","A0501","India"
"33","A0503","India"
"34","A0504","India"
"35","A0505","India"
"36","A0506","India"
"37","A0507","India"
"38","A0509","India"
"39","A0510","India"
"40","Z06031","India"
"41","Z06032","India"
"42","Z06033","India"
"43","Z06007","India"
"44","Z06029","India"
"45","Z06030","India"
"46","A0309","India"
"47","A0346","India"
"48","A0324","India"
"49","A0331","India"
"50","A0314","India"
"51","A0344","India"
"52","A0301","India"
"53","A0316","India"
"54","A0320","India"
"55","A0342","India"
"56","A0334","India"
"57","A0338","India"
"58","A0339","India"
"59","A0343","India"
"60","A0313","India"
"61","Z06002","India"
"62","Z06005","India"
"63","Z06001","India"
"64","Z06009","India"
"65","A0608","India"
"66","A0533","India"
"67","A0511","India"
"68","A0514","India"
"69","A0512","India"
"70","A0513","India"
"71","A0516","India"
"72","A0521","India"
"73","A0534","India"
"74","MC-iran_21","Iran"
"75","MC-iran_69","Iran"
"76","MC-iran_16","Iran"
"77","MC-iran_28","Iran"
"78","MC-iran_58","Iran"
"79","MC-iran_57","Iran"
"80","MC-iran_61","Iran"
"81","MC-iran_72","Iran"
"82","MC-iran_7","Iran"
"83","MC-iran_19","Iran"
"84","MC-iran_51","Iran"
"85","MC-iran_15","Iran"
"86","MC-iran_47","Iran"
"87","MC-iran_78","Iran"
"88","MC-iran_30","Iran"
"89","MC-iran_42","Iran"
"90","MC-iran_56","Iran"
"91","MC-iran_27","Iran"
"92","MC-iran_10","Iran"
"93","MC-iran_37","Iran"
"94","MC-iran_49","Iran"
"95","MC-iran_34","Iran"
"96","MC-iran_54","Iran"
"97","MC-iran_76","Iran"
"98","MC-iran_73","Iran"
"99","MC-iran_26","Iran"
"100","MC-iran_14","Iran"
"101","MC-iran_64","Iran"
"102","MC-iran_65","Iran"
"103","MC-iran_71","Iran"
"104","MC-iran_60","Iran"
"105","MC-iran_1","Iran"
"106","MC-iran_39","Iran"
"107","MC-iran_55","Iran"
"108","MC-iran_5","Iran"
"109","MC-iran_53","Iran"
"110","MC-iran_20","Iran"
"111","MC-iran_43","Iran"
"112","MC-iran_2","Iran"
"113","MC-iran_4","Iran"
"114","MC-iran_6","Iran"
"115","MC-iran_68","Iran"
"116","MC-iran_36","Iran"
"117","MC-iran_8","Iran"
"118","MC-iran_23","Iran"
"119","MC-iran_24","Iran"
"120","MC-iran_75","Iran"
"121","MC-iran_66","Iran"
"122","MC-iran_12","Iran"
